,Protein Name,,Gene Name,,CDDB Family Group Name,,Accession Number,,Technique,
,2-oxoglutarate carrier,,LOC64201,,Transporters and Channels,,NP_071793,,6,
,5-hydroxytryptamine ,,Htr2a,,G-protein Coupled Receptors,,NP_058950,,6,
,a disintegrin and metalloprotease domain 7,,Adam7,,Signal Proteins,,NP_064697,,6,
,acyl-CoA synthetase long-chain family member 4,,Acsl4,,Biosynthetic Protein,,NP_446075,,6,
,acyl-CoA synthetase long-chain family member 5,,Acsl5,,Biosynthetic Protein,,NP_446059,,6,
,ADAM 10 precursor ,,ADAM10,,Signal Proteins,,XP_217197,,10b,
,ADAM 17 precursor ,,ADAM17,,Signal Proteins,,NP_064702,,10b,
,adenylate cyclase 6,,Adcy6,,Adenylyl Cyclase,,NP_036953,,2,
,adenylyl cyclase 8,,Adcy8,,Adenylyl Cyclase,,NP_058838,,6,
,Agrin precursor,,AGRN,,Adhesion Proteins and Collagens,,NP_786930,,"4,5,10b",
,"Alkaline phosphatase, tissue-nonspecific isozyme precursor",,ALPL,,Aminopeptidases,,NP_037191,,10c,
,"alpha-1,3-mannosyltransferase ALG2 ",,Alg2,,Biosynthetic Protein,,NP_064382,,5,
,Amine oxidase [flavin-containing] A ,,MAOA,,Protein Degradation Pathways,,XP_343765,,10b,
,Aminopeptidase N ,,ANPEP,,Aminopeptidases,,NP_112274,,"5,10a",
,aminopeptidase Vp165,,Lnpep,,Aminopeptidases,,NP_598258,,5,
,Angiotensin II/vasopressin receptor,,Nalp6,,Signal Proteins,,XP_577848,,6,
,"Angiotensin-converting enzyme, somatic isoform precursor ",,ACE,,Signal proteins,,NP_036676,,10a,
,aquaporin 1 ,,AQP1,,Transporters and channels,,NP_036910,,"5,6,10c,10c",
,aquaporin 2 ,,AQP2,,Transporters and channels,,NP_037041,,"5,6,10c,10c",
,aquaporin 4 ,,AQP4,,Transporters and channels,,NP_036957,,"8,10c,10c",
,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",,Atp2a1,,Ion Pumps,,NP_478120,,6,
,"ATPase, Ca++ transporting, plasma membrane 2",,Atp2b2,,Ion Pumps,,NP_036640,,6,
,"ATPase, Ca++ transporting, ubiquitous",,Atp2a3,,Ion Pumps,,NP_037046,,4,
,"ATPase, Ca2++ transporting Plasma membrane calcium-transporting ATPase 4",,Atp2b4,,Ion Pumps,,NP_001005871,,6,
,"ATPase, Ca2++ transporting Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",,Atp2a2,,Ion Pumps,,NP_058986,,"5,6",
,"ATPase, Cu++ transporting, alpha polypeptide",,Atp7a,,Ion Pumps,,NP_434690,,8,
,"ATPase, H+ transporting, lysosomal ",,Atp6v0a1,,Ion Pumps,,NP_113792,,5,
,"ATPase, H+/K+ transporting, nongastric, alpha polypeptide",,ATP12A,,Ion pumps,,NP_598201,,"6,10c",
,"ATPase, K+ transporting ATPase alpha chain 1 ",,ATP4A,,Ion pumps,,XP_341835,,10a,
,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",,ATP1A1,,Ion pumps,,NP_036636,,"3,4,5,6,10c,10b",
,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",,Atp1a2,,Ion Pumps,,NP_036637,,"5,6",
,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",,ATP1A3,,Ion pumps,,NP_036638,,"6,10c,10b",
,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",,ATP1A4,,Ion pumps,,NP_074039,,"6,10c",
,"ATPase, Na+/K+ transporting, beta 1 polypeptide",,ATP1B1,,Ion pumps,,NP_037245,,"4,5,6,10c,10b",
,"ATPase, Na+/K+ transporting, beta 3 polypeptide",,ATP1B3,,Ion pumps,,NP_037045,,"10c,10b",
,"ATPase, Na+/K+ transporting, FXYD2 isoform a; gamma subunit of Na-K-ATPase ",,FXYD2,,Ion pumps,,NP_059045,,"5,10c",
,ATP-binding cassette sub-family A member 2 ,,ABCA2,,Transporters and channels,,NP_077372,,"6,10a",
,"ATP-binding cassette, sub-family B, (MDR/TAP), member 1",,Abcb1,,Transporters and Channels,,NP_036755,,6,
,"ATP-binding cassette, sub-family B, (MDR/TAP), member 11",,Abcb11,,Transporters and Channels,,NP_113948,,6,
,"ATP-binding cassette, sub-family C, (CFTR/MRP), member 4",,Abcc4,,Transporters and Channels,,NP_596902,,8,
,"ATP-binding cassette, sub-family C, (CFTR/MRP), member 9",,Abcc9,,Transporters and Channels,,NP_037172,,6,
,"ATP-binding cassette, sub-family F, member 1",,Abcf1,,Transporters and Channels,,NP_038882,,6,
,ATP-sensitive inward rectifier potassium channel 1 ,,KCNJ1,,Transporters and Channels,,NP_058719,,10b,
,atrial natriuretic peptide receptor 1; GC-A,,Npr1,,Guanylyl Cyclases and Nitric Oxide Synthases,,NP_036745,,6,
,Band 3 anion transport protein ,,SLC4A1,,Transporters and channels,,NP_036783,,"6,10c",
,Barttin,,BSND,,Transporters and channels,,NP_620435,,10c,
,basal cell adhesion molecule; Lutheran blood group ,,Lu,,Adhesion Proteins and Collagens,,NP_113940,,"4,5",
,Basigin precursor ,,BSG,,Transporters and channels,,NP_036915,,10c,
,cadherin 16 ,,Cdh16,,Adhesion Proteins and Collagens,,NP_001012055,,5,
,cadherin 23 ,,Cdh23,,Adhesion Proteins and Collagens,,NP_446096,,6,
,"calcium channel, dihydropyridine-sensitive L-type, alpha-2/deltasubunits precursor ",,CACNA2D1,,Transporters and channels,,NP_037051,,10c,
,"calcium channel, voltage-dependent, L type, alpha 1C subunit",,Cacna1c,,Transporters and Channels,,NP_036649,,6,
,"calcium channel, voltage-dependent, T type, alpha 1G subunit",,Cacna1g,,Transporters and Channels,,NP_113789,,6,
,Calnexin precursor,,CANX,,Chaperones,,NP_742005,,"5,6,10c,10c,10b",
